,Prefectures,Communes,Precincts,Ballots,Registered,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072
4295,BERAT,BERAT_KOZARE,3498,379,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,6,185,0,0,0,0,0,0,0,0,0,0,0,0,0,1,138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4296,BERAT,BERAT_KOZARE,3499,125,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4297,BERAT,BERAT_KOZARE,3500,305,426,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4298,BERAT,BERAT_KOZARE,3501,127,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,0,0,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4299,BERAT,BERAT_KOZARE,3502,156,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
4300,BERAT,BERAT_KOZARE,3504,307,513,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,87,1,0,109,2,0,0,0,0,1,0,0,0,0,0,0,0,0,97,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4301,BERAT,BERAT_PERONDI,3505,582,907,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,115,0,1,345,1,0,0,0,0,0,0,0,0,2,0,0,1,1,72,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
4302,BERAT,BERAT_PERONDI,3506,447,791,0,0,1,0,0,0,0,0,1,15,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,61,0,4,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4303,BERAT,BERAT_PERONDI,3507,186,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,16,1,0,108,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4304,BERAT,BERAT_PERONDI,3508,444,959,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,18,210,1,0,0,0,0,0,0,0,0,1,0,0,0,0,63,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4305,BERAT,BERAT_PERONDI,3509,202,387,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,1,0,104,1,0,0,0,0,1,0,0,0,1,0,0,0,0,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4306,BERAT,BERAT_PERONDI,3510,391,810,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52,1,3,259,1,1,0,0,0,1,1,0,0,0,0,0,0,0,43,17,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4307,BERAT,BERAT_PERONDI,3511,285,527,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,39,0,1,184,0,0,0,0,0,0,0,0,2,1,0,0,0,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4308,BERAT,BERAT_PERONDI,35111,253,521,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,38,0,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
